Moviename,Rating,Votes,Duration,Genre
Kraven the Hunter,5.4,44000,127,Action
Gladiator II,6.6,215000,148,Action
Sonic the Hedgehog 3,6.9,52000,110,Action
Venom: The Last Dance,6.0,107000,110,Action
Dune: Part Two,8.5,611000,166,Action
Pushpa: The Rule - Part 2,6.1,54000,201,Action
William Tell,5.8,1600,133,Action
Elevation,5.6,19000,91,Action
The Lord of the Rings: The War of the Rohirrim,6.3,27000,134,Action
The Ministry of Ungentlemanly Warfare,6.8,131000,122,Action
Furiosa: A Mad Max Saga,7.5,279000,148,Action
Deadpool & Wolverine,7.6,479000,128,Action
Borderlands,4.7,45000,101,Action
Hellboy: The Crooked Man,4.5,12000,99,Action
Twisters,6.5,160000,122,Action
Civil War,7.0,232000,109,Action
Old Guy,5.1,1600,94,Action
The Count of Monte-Cristo,7.6,32000,178,Action
The Beekeeper,6.3,152000,105,Action
Carry-On,6.5,159000,119,Action
Marco,6.9,20000,145,Action
The Fall Guy,6.8,216000,126,Action
Rebel Ridge,6.8,85000,131,Action
Homestead,5.4,3300,112,Action
The Crow,4.7,32000,111,Action
Thelma,7.0,21000,98,Action
Kingdom of the Planet of the Apes,6.9,149000,145,Action
Road House,6.2,165000,121,Action
Red One,6.3,137000,123,Action
Transformers One,7.6,47000,104,Action
Solo Leveling: ReAwakening,8.7,6500,121,Action
Bad Boys: Ride or Die,6.5,98000,115,Action
Love Lies Bleeding,6.6,56000,104,Action
Damsel,6.1,108000,110,Action
Land of Bad,6.6,50000,113,Action
The Killer's Game,5.7,16000,104,Action
Argylle,5.6,91000,139,Action
Madame Web,4.0,99000,116,Action
Godzilla x Kong: The New Empire,6.1,119000,115,Action
Dirty Angels,4.3,3100,104,Action
The Union,5.4,52000,107,Action
Monkey Man,6.8,90000,121,Action
Aftermath,5.1,3400,97,Action
Azrael,5.4,10000,86,Action
Freaky Tales,6.4,363,106,Action
Attack on Titan the Movie: The Last Attack,9.3,14000,145,Action
Drive-Away Dolls,5.4,23000,84,Action
Werewolves,4.4,6000,93,Action
Uglies,4.7,32000,100,Action
Kung Fu Panda 4,6.3,67000,94,Action
Absolution,5.2,7400,112,Action
Arcadian,5.5,22000,92,Action
Blitz,6.2,15000,120,Action
The Instigators,6.2,37000,101,Action
Lift,5.5,49000,107,Action
Beverly Hills Cop: Axel F,6.4,80000,118,Action
The Killer,5.7,12000,126,Action
Hitpig,5.1,825,86,Action
Apocalypse Z: The Beginning of the End,6.1,19000,117,Action
The Silent Hour,6.1,7000,99,Action
Maharaja,8.4,65000,141,Action
Classified,3.6,2200,105,Action
Kalki 2898 AD,7.0,66000,180,Action
Descendants: The Rise of Red,4.7,6900,91,Action
Brothers,5.4,13000,89,Action
Atlas,5.6,55000,118,Action
Canary Black,5.4,11000,101,Action
Baby John,5.4,17000,159,Action
Survive,4.6,2000,90,Action
Long Gone Heroes,5.2,958,101,Action
Weekend in Taipei,5.7,4300,100,Action
Watchmen: Chapter I,7.0,6200,83,Action
Rebel Moon - Part Two: The Scargiver,5.3,59000,122,Action
Gunner,3.2,2300,106,Action
Hagen,6.2,988,139,Action
Jackpot!,5.8,30000,106,Action
Cash Out,4.8,2800,92,Action
Under Paris,5.2,36000,104,Action
Levels,5.0,1400,93,Action
Dominique,5.3,2100,100,Action
The Shadow Strays,6.5,8900,144,Action
Armor,3.5,3600,89,Action
Trigger Warning,4.6,19000,106,Action
Agents,3.8,879,82,Action
Twilight of the Warriors: Walled In,7.0,8900,126,Action
Aavesham,7.8,27000,155,Action
Hounds of War,4.5,1700,95,Action
Boneyard,4.1,4800,96,Action
Jacob Tyler,4.8,43,133,Action
Chief of Station,4.7,4300,97,Action
Take Cover,5.1,2300,90,Action
No Way Up,4.6,10000,90,Action
Agent Recon,2.4,657,85,Action
Red Right Hand,5.5,5700,111,Action
11 Rebels,6.2,252,155,Action
Watchmen: Chapter II,7.0,2700,90,Action
Megamind vs. The Doom Syndicate,2.5,5400,83,Action
Sunray: Fallen Soldier,4.3,578,115,Action
Night Call,6.8,1700,97,Action
Singham Again,4.8,75000,144,Action
Damaged,4.7,7100,97,Action
Amaran,8.2,18000,167,Action
Role Play,5.5,19000,100,Action
Vanvaas,6.7,1100,160,Action
Trouble,6.2,6600,98,Action
Echo 8,4.1,166,96,Action
Rifle Club,7.0,3900,113,Action
Dark Match,5.5,826,94,Action
"I, the Executioner",6.3,1600,118,Action
Prey,3.7,3200,86,Action
Code 8: Part II,5.7,16000,100,Action
My Hero Academia: You're Next,7.0,1900,110,Action
Justice League: Crisis on Infinite Earths - Part One,6.2,8300,93,Action
City Hunter,6.3,5500,102,Action
Uprising,6.6,5300,126,Action
River of Blood,5.4,1500,86,Action
My Spy: The Eternal City,5.7,11000,112,Action
Duchess,4.6,1200,114,Action
Harbin,6.5,479,108,Action
Max,7.1,3200,132,Action
Badland Hunters,5.9,12000,107,Action
The Courier,6.0,4300,101,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1,4300,94,Action
The Tiger's Apprentice,5.8,2100,84,Action
Sikandar Ka Muqaddar,6.0,24000,142,Action
Drive Back,4.7,286,94,Action
The Lost Tiger,7.8,33,90,Action
The Price of Money: A Largo Winch Adventure,5.1,1100,100,Action
The Fix,4.6,1100,98,Action
Joe Baby,8.2,25,86,Action
The Roundup: Punishment,6.6,5000,109,Action
One More Shot,5.4,3500,103,Action
Arena Wars,5.0,2000,96,Action
Mafia Wars,3.4,211,94,Action
Raayan,6.5,11000,145,Action
Elyas,6.1,1300,105,Action
Fighter,6.2,52000,166,Action
Striking Rescue,5.7,332,106,Action
Lights Out,4.9,1700,90,Action
Article 370,7.8,24000,158,Action
Devara Part 1,6.0,20000,176,Action
200% Wolf,6.0,1300,98,Action
Officer Black Belt,6.8,7900,108,Action
Simarik,6.4,2300,111,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8300,104,Action
Air Force One Down,4.4,2800,84,Action
The Wages of Fear,4.6,4000,104,Action
The Prosecutor,6.8,1400,117,Action
Kill Em All 2,4.1,1300,88,Action
The Quiet Ones,6.5,511,110,Action
Khadaan,7.4,2000,137,Action
Darkness of Man,4.8,3100,109,Action
Operation Blood Hunt,3.4,455,93,Action
Rats!,8.0,77,85,Action
Ultraman: Rising,6.9,6200,117,Action
Jigra,6.0,23000,153,Action
One Fast Move,5.0,2200,108,Action
Angels Fallen: Warriors of Peace,4.9,5800,103,Action
The Last Kumite,4.6,2300,105,Action
Murder Company,3.7,1500,86,Action
Panda Plan,5.1,1100,99,Action
Karma,8.1,1400,167,Action
Bougainvillea,6.4,3000,138,Action
Golden Kamuy,6.3,2500,127,Action
Cloud,6.3,891,123,Action
Pani,6.9,2700,143,Action
Utopia,3.7,337,91,Action
Latency,4.2,1700,94,Action
The Thundermans Return,5.0,1800,70,Action
Death Whisperer 2,6.4,1300,110,Action
Dan Da Dan: First Encounter,8.2,2500,83,Action
Everybody Loves Jenifa,8.4,77,135,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5,5200,94,Action
Sucha Soorma,6.5,905,136,Action
Freedom,5.9,1300,110,Action
WWII: Operation Phoenix,6.7,62,106,Action
Anaconda,4.9,600,84,Action
The Family Star,5.4,5400,159,Action
My Fathers' Daughter,6.6,71,78,Action
Die Hart 2: Die Harter,4.3,5400,92,Action
Life After Fighting,6.4,1900,126,Action
Hanu Man,7.7,29000,158,Action
Ferry 2,5.6,3700,94,Action
Wynonna Earp: Vengeance,5.6,1500,96,Action
Fight Another Day,5.1,324,97,Action
Wanted Man,4.8,2500,85,Action
Hijack 1971,6.8,3200,100,Action
Terminator: Skynet Rising,6.8,258,88,Action
The Greatest of All Time,5.7,22000,183,Action
Alien: Rubicon,2.4,327,86,Action
Zero,6.1,38,88,Action
Saripodhaa Sanivaaram,7.0,8800,166,Action
The Clean Up Crew,4.1,1100,95,Action
Sixty Minutes,5.7,5100,88,Action
Escape,6.4,1900,94,Action
Razakar: The Silent Genocide of Hyderabad,7.4,5300,166,Action
